rt,stimulus,response,type_of_trial,subject,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,all_responses,accuracy,words,clue,board,pragmatics,accessibility,clue_type,question_order
24519,"<p style='font-size: 20px; padding-right: 10%; padding-left: 10%'> This concludes the practice trials. <br> <br> When you are ready, please click the button below, and the experiment will automatically move you through the 60 experimental trials.</p>",0,move_to_experiment,95311,html-button-response,10,211850,0.0-2.0,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,11,212854,0.0-3.0-0.0,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
32493,RELIGION,"[""BAPTIZE"",""PSYCHOSIS""]",,95311,connector,12,245349,0.0-3.0-1.0,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""BAPTIZE"",""PSYCHOSIS""]",0,water-baptize,religion,"[""BAPTIZE"",""THIRST"",""GRUNT"",""FEET"",""GRUB"",""FINALE"",""SUNFLOWER"",""WADDLE"",""FORECAST"",""HELPFUL"",""DEAL"",""AFFECT"",""TERMITES"",""PSYCHOSIS"",""LOTTERY"",""TEENAGERS"",""LIVID"",""WATER"",""LOCOMOTIVE"",""ANTISEPTIC""]",0.0000918,144,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,13,246353,0.0-3.0-0.1,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
23083,FAMILY,"[""APARTMENT"",""DOMESTIC""]",,95311,connector,14,269440,0.0-3.0-1.1,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""APARTMENT"",""DOMESTIC""]",1,apartment-domestic,family,"[""DOMESTIC"",""CONSTELLATION"",""BITS"",""OBSESSION"",""PUN"",""RIVALRY"",""CROWBAR"",""METALLIC"",""GHOST"",""DOWNSTAIRS"",""FORMER"",""UPTIGHT"",""TRUMPET"",""ACTOR"",""HAPPENING"",""STRUGGLE"",""APARTMENT"",""DYNAMITE"",""BLADDER"",""KHAKI""]",0.0000895,74,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,15,270442,0.0-3.0-0.2,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
12283,ARMY,"[""JEEP"",""SURVIVAL""]",,95311,connector,16,282728,0.0-3.0-1.2,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""JEEP"",""SURVIVAL""]",0,speedometer-jeep,army,"[""SPEEDOMETER"",""EXPLORATION"",""SPENDING"",""JEEP"",""LOOSE"",""SURVIVAL"",""ARCHAIC"",""SELECT"",""STONED"",""ANDROID"",""ANOTHER"",""SUBSTITUTE"",""CIGAR"",""PLEASURE"",""ASPIRE"",""MUSTANG"",""GRIMACE"",""SOFTBALL"",""WEASEL"",""VISITOR""]",0.0000868,98,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,17,283731,0.0-3.0-0.3,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
8510,FEES,"[""TAX"",""TUITION""]",,95311,connector,18,292244,0.0-3.0-1.3,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""TAX"",""TUITION""]",1,tax-tuition,fees,"[""SHORTS"",""ASTROLOGY"",""SQUID"",""PYRAMIDS"",""FOOTSTOOL"",""GLAMOROUS"",""OPPOSITE"",""ASLEEP"",""TUITION"",""TAX"",""ANTICIPATION"",""HUNCH"",""AMPHIBIAN"",""BELONGINGS"",""QUID"",""GENTLEMAN"",""MANUAL"",""TUNES"",""DECEIT"",""CRINGE""]",0.000176827,63,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,19,293247,0.0-3.0-0.4,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
31321,BARRACUDA,"[""POND"",""PIRANHA""]",,95311,connector,20,324570,0.0-3.0-1.4,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""POND"",""PIRANHA""]",0,stickleback-piranha,barracuda,"[""PICTURESQUE"",""STICKLEBACK"",""IMITATE"",""ENDEAVOR"",""HOMAGE"",""PANCAKES"",""WHEELCHAIR"",""ANATOMY"",""CROWN"",""TESTIFY"",""POND"",""CLARITY"",""PERSON"",""BREATHING"",""RESOLUTION"",""PIRANHA"",""TEACHER"",""DRESSY"",""BREAKFAST"",""ATOM""]",0.000196759,7,low_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,21,325574,0.0-3.0-0.5,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
77391,GREEN,"[""ZONE"",""BUSINESS""]",,95311,connector,22,402967,0.0-3.0-1.5,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""ZONE"",""BUSINESS""]",0,carrots-nectarine,green,"[""BUSINESS"",""ANT"",""INFLATION"",""CARPENTRY"",""NECTARINE"",""CARROTS"",""DWELLING"",""SPECTACLE"",""ZONE"",""BLIMP"",""CLAPPING"",""SCAM"",""VOWEL"",""SALIENT"",""SOUR"",""SECRETARY"",""SECRETS"",""FREEZE"",""SONGS"",""TREASON""]",0.0000919,141,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,23,403970,0.0-3.0-0.6,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
11792,APRICOT,"[""PEACHES"",""HONEYDEW""]",,95311,connector,24,415765,0.0-3.0-1.6,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""PEACHES"",""HONEYDEW""]",0,peaches-mandarin,apricot,"[""BUCKLE"",""PEACHES"",""ZODIAC"",""INSIGHTFUL"",""DETER"",""VACCINATION"",""MIGRAINE"",""RESOURCES"",""BOLTS"",""POTENT"",""AUDIENCE"",""SINNER"",""MANDARIN"",""OPTIMISTIC"",""CONSIDERATION"",""SKITTISH"",""TOOTHACHE"",""HONEYDEW"",""ELEPHANT"",""SHOE""]",0.000191292,12,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,25,416767,0.0-3.0-0.7,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
43428,CONSUME,"[""GRILL"",""TURKEY""]",,95311,connector,26,460199,0.0-3.0-1.7,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""GRILL"",""TURKEY""]",0,grill-sirloin,consume,"[""TURKEY"",""GRILL"",""TWINS"",""ENRAGE"",""JAZZ"",""GAZE"",""REFRESHING"",""HUT"",""JET"",""FROST"",""SMOOTH"",""UNDERSTANDING"",""SIRLOIN"",""ELEVEN"",""DISBELIEVE"",""NOD"",""ARACHNID"",""HUGE"",""HARDCORE"",""CRAFTSMAN""]",0.0000909,8,low_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,27,461202,0.0-3.0-0.8,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
19373,HORSE,"[""GALLOP"",""FOAL""]",,95311,connector,28,480578,0.0-3.0-1.8,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""GALLOP"",""FOAL""]",1,gallop-foal,horse,"[""INFERENCE"",""NUTRITIOUS"",""GALLOP"",""OCCURRENCE"",""RUM"",""SPARSE"",""LOBOTOMY"",""IRONY"",""STRAW"",""PLACE"",""CHIP"",""METICULOUS"",""INTENDED"",""FOAL"",""FINALLY"",""MESH"",""SEQUENCE"",""ARTISTIC"",""EXTEND"",""LIVING""]",0.000202738,597,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,29,481580,0.0-3.0-0.9,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
18523,MORE,"[""ENDLESS"",""MILLION""]",,95311,connector,30,500106,0.0-3.0-1.9,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""ENDLESS"",""MILLION""]",0,ever-endless,more,"[""WRONG"",""ENDLESS"",""MILLION"",""GOO"",""RESTAURANT"",""HOP"",""EVER"",""IMPROPER"",""LOAF"",""TELEGRAPH"",""LAYOUT"",""MAIDEN"",""MARAUDER"",""ACCESSORY"",""SCIENTIFIC"",""STEADY"",""CONQUISTADOR"",""RUBRIC"",""STERILE"",""PROSPERITY""]",0.0000847,71,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,31,501109,0.0-3.0-0.10,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
43121,FARMING,"[""MANUFACTURING"",""FODDER""]",,95311,connector,32,544234,0.0-3.0-1.10,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""MANUFACTURING"",""FODDER""]",0,cooker-fodder,farming,"[""GOOF"",""SENSES"",""LOVABLE"",""MENTAL"",""SADNESS"",""DRONE"",""MANUFACTURING"",""BURRITO"",""WIDOW"",""INDIGNANT"",""ELEVATION"",""SPINACH"",""SHORE"",""RIVER"",""COOKER"",""SYMMETRY"",""FILTHY"",""DEGREE"",""FODDER"",""UNFRIENDLY""]",0.0000942,1,low_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,33,545238,0.0-3.0-0.11,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
38144,EASY,"[""NICE"",""BLUEPRINT""]",,95311,connector,34,583387,0.0-3.0-1.11,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""NICE"",""BLUEPRINT""]",0,courteous-nice,easy,"[""HORMONE"",""SOOT"",""BLINDS"",""MONOTONY"",""CONSUMER"",""CONUNDRUM"",""FAX"",""AGAINST"",""SLUDGE"",""LEAGUE"",""KIDNAPPER"",""COURTEOUS"",""FRUSTRATION"",""NICE"",""MORTGAGE"",""INTOXICATE"",""BUNS"",""BLUEPRINT"",""SOMETHING"",""GRATITUDE""]",0.0000864,71,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,35,584391,0.0-3.0-0.12,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
28726,ROWDY,"[""SHOUTING"",""CONVICT""]",,95311,connector,36,613120,0.0-3.0-1.12,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""SHOUTING"",""CONVICT""]",0,shouting-opinionated,rowdy,"[""SHELTER"",""RESTRICTED"",""FORGETFUL"",""ARTS"",""SOY"",""OPINIONATED"",""SHOUTING"",""RESPECT"",""STALLION"",""TRIPLE"",""LILAC"",""BUTTONS"",""VETERINARIAN"",""SURROUNDINGS"",""GAUDY"",""JUICER"",""DIFFER"",""CONVICT"",""MIGRATE"",""HIDDEN""]",0.000161419,8,low_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,37,614123,0.0-3.0-0.13,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
40657,GOOD,"[""PERFECTION"",""PRINCIPLE""]",,95311,connector,38,654784,0.0-3.0-1.13,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""PERFECTION"",""PRINCIPLE""]",0,flavorful-ingredients,good,"[""PRINCIPLE"",""FLAVORFUL"",""MISSION"",""GYMNASTICS"",""EXPLODE"",""WILDLIFE"",""PERFECTION"",""INCENTIVE"",""COUNTRYSIDE"",""RAG"",""TICKLE"",""SPHINX"",""INGREDIENTS"",""WENT"",""MICROWAVE"",""RESEMBLE"",""THING"",""CIRCUMSTANCE"",""HOMELAND"",""RENTAL""]",0.0000879,131,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,39,655787,0.0-3.0-0.14,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
65154,ECHO,"[""DAWN"",""LIFT""]",,95311,connector,40,720945,0.0-3.0-1.14,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""DAWN"",""FAST"",""LIFT""]",0,punch-strike,echo,"[""CERTAINTY"",""FAD"",""DAWN"",""SATURATED"",""DIFFERENCE"",""FAST"",""AIRLINE"",""CALORIES"",""FLAN"",""LIFT"",""PUNCH"",""TENDER"",""FRIDGE"",""STRIKE"",""GLOVE"",""SHALLOW"",""UNKEMPT"",""UPGRADE"",""PROVEN"",""WORTHY""]",0.0000872,2,low_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,41,721948,0.0-3.0-0.15,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
24560,ISOLATION,"[""PARIAH"",""OSTRACIZE""]",,95311,connector,42,746513,0.0-3.0-1.15,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,"[""PARIAH"",""OSTRACIZE""]",1,pariah-ostracize,isolation,"[""ORIGINATE"",""WITHIN"",""LIVESTOCK"",""HARMONY"",""STOCKING"",""BASIC"",""OSTRACIZE"",""PARIAH"",""APPEARANCE"",""LASAGNA"",""SKATE"",""CANTEEN"",""HABITAT"",""COUSIN"",""THRIVE"",""BICEP"",""LEAVE"",""CIPHER"",""COMPLETE"",""CONTEMPORARY""]",0.000141597,6,low_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,95311,html-keyboard-response,43,747516,0.0-3.0-0.16,18,2,2/24/23 13:40,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Macintosh,Safari,16.3,OS X,10_15_7,,,,,,,,,
